pm10,pm2.5,so2,co,o3,no2,category
37,70,25,25,2,3,Sedang
37,70,22,25,3,3,Sedang
29,62,21,23,2,3,Sedang
29,62,28,26,2,4,Sedang
25,57,21,23,3,2,Sedang
24,56,15,19,3,2,Sedang
15,40,13,17,4,2,Baik
21,52,13,19,3,2,Sedang
29,61,22,26,2,3,Sedang
25,57,29,30,1,3,Sedang
22,53,25,25,1,3,Sedang
22,53,24,24,1,3,Sedang
24,55,27,27,1,3,Sedang
39,72,24,25,1,3,Sedang
27,59,16,20,2,3,Sedang
17,45,12,18,3,2,Baik
14,37,12,20,3,2,Baik
20,52,16,19,3,2,Sedang
22,54,24,18,8,2,Sedang
19,52,25,17,7,2,Sedang
27,64,32,23,3,2,Sedang
21,56,19,23,1,5,Sedang
18,52,0,22,0,5,Sedang
13,43,0,19,0,3,Baik
16,50,0,20,1,3,Baik
24,61,0,24,1,4,Sedang
36,76,0,24,2,3,Sedang
25,61,0,23,2,4,Sedang
29,67,0,25,1,5,Sedang
14,43,0,22,1,3,Baik
17,49,0,23,0,0,Baik
28,66,0,23,0,0,Sedang
30,69,0,24,1,1,Sedang
31,70,0,24,7,2,Sedang
15,43,0,18,14,2,Baik
16,50,0,25,9,3,Baik
11,34,0,21,7,3,Baik
18,52,0,30,3,3,Sedang
18,53,0,22,2,3,Sedang
27,66,0,25,2,4,Sedang
32,71,0,29,1,3,Sedang
41,84,0,26,3,5,Sedang
19,55,0,23,3,5,Sedang
36,77,0,24,4,4,Sedang
36,77,0,25,5,5,Sedang
26,63,0,24,2,5,Sedang
23,60,0,25,0,5,Sedang
23,60,0,25,0,4,Sedang
29,68,0,31,0,4,Sedang
35,75,0,22,0,3,Sedang
30,68,0,26,0,3,Sedang
21,57,0,23,0,3,Sedang
20,56,0,24,0,4,Sedang
25,63,0,22,0,4,Sedang
25,62,0,24,0,3,Sedang
18,57,2,20,0,3,Sedang
13,69,9,21,0,3,Sedang
19,23,9,19,0,4,Baik
22,27,9,20,0,4,Baik
25,29,13,22,0,4,Baik
18,22,12,20,0,4,Baik
10,13,6,17,0,3,Baik
17,21,8,20,0,4,Baik
19,24,9,20,0,4,Baik
28,35,14,23,0,5,Baik
22,26,11,21,0,3,Baik
18,22,8,18,0,3,Baik
30,36,12,21,0,4,Baik
46,52,5,24,0,5,Sedang
43,72,0,23,0,4,Sedang
21,55,0,22,0,4,Sedang
